Emoji;English
🐎;Horse
🐦;Bird
🐻;Bear
🐅;Tiger
🐑;Sheep
🐄;Cow
🐘;Elephant
🐟;Fish
🐈;Cat
🐕;dog
🐖;Pig
🐒;Monkey
🐔;Chicken
🦆;Duck
🦁;Lion
🐁;Mouse
🐼;Panda Bear
🐇;Rabbit
🐌;Snail
🐍;Snake
🐺;Wolf
🦐;Shrimp
🦒;Giraffe
🦌;Deer
🐊;Crocodile
🦊;Fox
🦉;Owl
🦇;Bat
🐬;Dolphin
🐋;Whale
🦀;crab
🦈;Shark
🐧;Penguin
🐸;Frog
🐛;Caterpillar
🐜;Ant
🕷️;Spider
🦋;Butterfly
🐝;Bee
🐢;Turtle
🦎;Lizard
🦍;Gorilla
🦝;Raccoon
🐆;Leopard
🐏;Ram
🐑;Sheep
🐐;Goat
🐪;Camel
🦏;Rhinoceros
🦛;Hippopotamus
🐿️;Chipmunk
🦫;Beaver
🦔;Hedgehog
🐨;Koala
🦥;Sloth
🦦;Otter
🦨;Skunk
🦘;Kangaroo
🦡;Badger
🐓;Rooster
🦃;Turkey
🦅;Eagle
🦢;Swan
🦩;Flamingo
🦚;Peacock
🦜;Parrot
🦭;Seal
🐙;Octopus
🪲;Beetle
🦗;Cricket
🪳;Cockroach
🦂;Scorpion
🦟;Mosquito
🪰;Fly
🪱;Worm
🦞;Lobster
🦑;Squid
