Emoji;Deutsch
🐎;Pferd
🐦;Vogel
🐻;Bär
🐅;Tiger
🐑;Schaf
🐄;Kuh
🐘;Elefant
🐟;Fisch
🐈;Katze
🐕;Hund
🐖;Schwein
🐒;Affe
🐔;Huhn
🦆;Ente
🦁;Löwe
🐁;Maus
🐼;Pandabär
🐇;Kaninchen
🐌;Schnecke
🐍;Schlange
🐺;Wolf
🦐;Garnele
🦒;Giraffe
🦌;Hirsch/Reh
🐊;Krokodil
🦊;Fuchs
🦉;Eule
🦇;Fledermaus
🐬;Delfin
🐋;Wal
🦀;Krabbe
🦈;Hai
🐧;Pinguin
🐸;Frosch
🐛;Raupe
🐜;Ameise
🕷️;Spinne
🦋;Schmetterling
🐝;Biene
🐢;Schildkröte
🦎;Eidechse
🦍;Gorilla
🦝;Waschbär
🐆;Leopard
🐏;Widder
🐑;Schaf
🐐;Ziege
🐪;Kamel
🦏;Nashorn
🦛;Nilpferd
🐿️;Chipmunk
🦫;Biber
🦔;Igel
🐨;Koala
🦥;Faultier
🦦;Otter
🦨;Stinktier
🦘;Känguru
🦡;Dachs
🐓;Hahn
🦃;Truthahn
🦅;Adler
🦢;Schwan
🦩;Flamingo
🦚;Pfau
🦜;Papagei
🦭;Siegel
🐙;Oktopus
🪲;Käfer
🦗;Grashüpfer
🪳;Kakerlake
🦂;Skorpion
🦟;Mücke
🪰;Fliege
🪱;Wurm
🦞;Hummer
🦑;Tintenfisch
