Emoji;Türkçe
🐎;at
🐦;Kuş
🐻;ayı
🐅;Kaplan
🐑;koyun
🐄;inek
🐘;Fil
🐟;Balık
🐈;kedi
🐕;köpek
🐖;domuz
🐒;Maymun
🐔;tavuk
🦆;ördek
🦁;aslan
🐁;fare
🐼;Panda Ayı
🐇;tavşan
🐌;salyangoz
🐍;Yılan
🐺;Kurt
🦐;Karides
🦒;zürafa
🦌;geyik
🐊;Timsah
🦊;tilki
🦉;baykuş
🦇;yarasa
🐬;yunus
🐋;balina
🦀;yengeç
🦈;köpekbalığı
🐧;penguen
🐸;Kurbağa
🐛;tırtıl
🐜;karınca
🕷️;Örümcek
🦋;Kelebek
🐝;Arı
🐢;Kaplumbağa
🦎;kertenkele
🦍;goril
🦝;Rakun
🐆;leopar
🐏;Ram
🐑;koyun
🐐;keçi
🐪;deve
🦏;gergedan
🦛;su aygırı
🐿️;Sincap
🦫;kunduz
🦔;Kirpi
🐨;Koala
🦥;tembellik
🦦;su samuru
🦨;Kokarca
🦘;kanguru
🦡;porsuk
🐓;Horoz
🦃;Türkiye
🦅;Kartal
🦢;Kuğu
🦩;Flamingo
🦚;tavus kuşu
🦜;papağan
🦭;Mühür
🐙;Ahtapot
🪲;böcek
🦗;kriket
🪳;hamamböceği
🦂;Akrep
🦟;sivrisinek
🪰;uçmak
🪱;solucan
🦞;ıstakoz
🦑;kalamar
