Kanji;Deutsch
一;eins
二;zwei
三;drei
四;vier
五;fünf
六;sechs
七;sieben
八;acht
九;neun
十;zehn
百;hundert
千;tausend
上;oben
下;unten
左;links
右;rechts
中;innen, Mitte
大;groß
小;klein
月;Monat, Mond
日;Tag, Sonne
年;Jahr
早;früh, schnell
木;Baum, Holz
林;Hain, Forst
山;Berg
川;Fluss
土;Erde
空;Himmel
田;Reisfeld
天;Himmel
生;Leben, roh
花;Blume
草;Gras
虫;Insekt
犬;Hund
人;Person, Mensch
名;Name
女;Frau
男;Mann
子;Kind
目;Auge
耳;Ohr
口;Mund
手;Hand
足;Fuß
見;sehen
音;Ton, Geräusch
力;Kraft
気;Luft, Geist, Seele, Stimmung
円;Yen, Kreis
入;hineingehen
出;herauskommen
立;aufstehen
休;ausruhen
先;vorher, vorne
夕;Abend
本;Buch, Ursprung
文;Text
字;Schriftzeichen
学;lernen
校;Schule
村;Dorf
町;Stadt
森;Wald
正;richtig, gerecht
水;Wasser
火;Feuer
玉;Edelstein
王;König
石;Stein
竹;Bambus
糸;Faden
貝;Muschel
車;Fahrzeug
金;Gold, Geld
雨;Regen
赤;rot
青;blau
白;weiß
