Japanisch;Deutsch
ここ;hier
そこ;da
あそこ;dort drüben
どこ;wo

こちら;hierhin
そちら;dahin
あちら;dorthin
どちら;wohin

きょうしつ;Unterrichtsraum
しょくどう;Kantine
じむしょ;Büro
かいぎしつ;Konferenzraum
うけつけ;Rezeption
ロビー;Lobby
へざ;Zimmer/Raum
トイレ;Toilette
おてあらい;Toilette

かいだん;Treppe
エレベーター;Aufzug
エスカレーター;Rolltreppe
じどうはんばいき;Verkaufsautomat

でんわ;Telefon
[お]　くに;[Ihr] Land
かいしゃ;Firma
うち;Haus

くつ;Schuhe
ネクタイ;Krawatte
ワイン;Wein

うりば;Verkaufsabteilung

ちか;Untergeschoss
-かい　(-がい);-te Etage
なんがい;welche Etage
なんがいですか。;Welche Etage ist es?

-えん;- Yen
いくら;wie viel (Geld)
それはいくらですか。;Wie viel kostet das?
ひゃく;Hundert
せん;Tausend
まん;Zehntausend

すみません。;Entschuldigen Sie bitte.
どうも。;Danke.

いらっしゃいません。;Willkommen, was kann ich für sie tun?
~を　みせてください。;Zeigen Sie mir bitte ~
じゃ;nun, hm, dann
~を　ください。; Geben Sie mir bitte ~.

イタリア;Italien
スイス;Schweiz
フランス;Frankreich
ジャカルタ;Jakarta
バンコク;Bangkok
ベルリン;Berlin
