Hiragana;Deutsch
いきます;gehen, fahren, fliegen
きます;kommen
かえります;nach Hause gehen, zurückkehren

がっこう;Schule
スーパー;Supermarkt
えき;Bahnhof

ひこうき;Flugzeug
ふね;Schiff
でんしゃ;Bahn, Zug
しんかんせん;Shinkansen
バス;Bus
タクシー;Taxi
じてんしゃ;Fahrrad
あるいて;zu Fuß

ひと;Person, Mensch, Leute
ともだち;Freund
かれ;er, (fester) Freund
かのじょ;sie, (feste) Freundin
かぞく;Familie
ひとりで;allein

せんしゅう;letzte Woche
こんしゅう;diese Woche
らいしゅう;nächste WOche
せんげつ;letzten Monat
こんげつ;diesen Monat
らいげつ;nächsten Monat
きょねん;letztes jahr
ことし;dieses Jahr
らいねん;nächstes Jahr

-ねん;im Jahr -
なんねん;in welchem Jahr
-がつ;- Monat
なんがつ;welcher Monat

いつ;wann
そうですね。;Ja, das stimmt.
