Japanisch;Deutsch;Kanji
きります;schneiden;切ります
おくります;(ab-) schicken (Paket, Fax, etc.);送ります
おげます;geben, schenken
もらいます;erhalten, bekommen
かします;verleihen;貸します
かります;borgen, sich ausleihen;借ります
おしえます;lehren, beibringen;教えます
ならいます;lernen;習います
[でんわを] かけます;anrufen;[電話を] かけます

て;Hand, Arm;手
はし;Essstäbchen
スプ-ン;Löffel
ナイフ;Messer
フオ-ク;Gabel
はさみ;Schere

パソコン;PC (Personal Computer)
ケ-タイ;Handy

メール;E-Mail
ねんがじょう;Neujahrskarte;年賀状

パンチ;Locher
ホッチキス;Hefter, Tacker
セロテープ;Klebeband
けしゴム;Radiergummi
かみ;Papier

はな;Blume, Blüte;花
シャツ;Hemd
プルゼント;Geschenk
にもつ;Gepäck, Paket;荷物
おかね;Geld;お金
きっぷ;(Fahr-) Karte, Ticket;切符


ちち;(mein) Vater;父
はは;(meine) Mutter;母
おとうさん;Vater (meist von einer anderen Person);お父さん
おかあさん;Mutter (meist von einer anderen Person);お母さんが

もう;schon, bereits
まだ;noch, noch nicht
これから;jetzt, von jetzt an, gleich

[~] すてきですね。;Was für ein/-e schöne/-r/-s ~

いらっしゃい。;Schön dass Sie gekommen sind! (Willkommen)
どうぞ　おあがり　ください。;Kommen Sie doch herein!;どうぞ　お上がり　ください。
しつれいします。;Danke schön!/Darf ich? (Wenn man das Haus/Zimmer von jemanden betritt);失礼します。
~は　いかがですか。;Wie wäre es mit ~? (Wenn man etwas anbietet)
いただきます。;Danke schön! (Wird vor dem Essen gesagt)
ごちそうさま　でした。;Es hat sehr gut geschmeckt, vielen Dank. (Wird nach dem Essen gesagt)
スペイン;Spanien

なんで;Wie/Auf welche Art und Weise?
