Japanisch;Deutsch;Kanji
かぞく;Familie;家族
そふぼ;Meine Großeltern;祖父母
そぼ;Meine Großmutter;祖母
そふ;Mein Großvater;父母
りょうしん;Meine Eltern;両親
はは;Meine Mutter;母
ちち;Mein Vater;父
きょうだい;Meine Geschwister;兄弟
いもうと;Meine jüngere Schwester;妹
おとうと;Mein jüngerer Bruder;弟
あね;Meine ältere Schwester;姉
おに;Mein älterer Bruder;兄
ふうふ;Ehepaar (eigene Familie);夫婦
つま;Meine Ehefrau;妻
おっと;Mein Ehemann;夫
こども;Meine Kinder;子ども
むすめ;Meine Tochter;娘
むすこ;Mein Sohn;息子

おばあさん;Großmutter (höflich)
おじいさん;Großvater (höflich)
ごりょうしん;Eltern (höflich);ご両親
おかあさん;Mutter (höflich);お母さん
おとうさん;Vater (höflich);お父さん
ごきょうだい;Geschwister (höflich);ご兄弟
いもうとさん;jüngere Schwester (höflich);妹さん
おとうとさん;jüngerer Bruder (höflich);弟さん
おねえさん;ältere Schwester (höflich);お姉さん
おにいさん;älterer Bruder (höflich);お兄さん
ごふうふ;Ehepaar (höflich);ご夫婦
おくさん;Ehefrau (höflich);奥さん
ごしゅじん;Ehemann (höflich);ご主人
おこさん;Kinder (höflich);お子さん
むすめさん;Tochter (höflich);娘さん
むすこさん;Sohn (höflich);息子さん
