Artist - Title;Lyrics
Eminem - Lose Yourself;There's vomit on his sweater already, mum's spaghetti
Lil Tommy Terror - Wings On My Penis;I prayed to god but he forgot this kid
Die Antwoord - Fok Julle Naaiers;Fan myself with a milli while I laugh in your face
AFI - Prelude 12/21;Kiss my eyes and lay me to sleep
Bring Me The Horizon - Blasphemy;What would your mother say?
BCee feat. Villem & Frank H Carter III - I Believe;Some folks would rather just complain
The Chainsmokers - Something Just Like This;And clearly I don't see myself upon this list
Eurythmics - Sweet Dreams (Are Made of This);Who am I to disagree
Example - Skies Don't Lie;Time might fly, Girls may cry
First State feat. Tyler Sherritt - Maze;I know what you're thinking, I know what you're feeling
Fort Minor feat. Styles of Beyond - Remember The Name;15 % concentrated power of will
Flo Rida - R.O.O.T.S;I can't hate where I'm from, cause where I'm from made me
The Glitch Mob feat. Aja Volkman Reynolds - Our Demons;Nobody made you ever dig deeper
Guano Apes - Open your Eyes;Now is the time to face your lies
Kaskade - Angle On My Shoulder;I could be as bad as someone else
Linkin Park - In The End;I put my trust in you
Marilyn Manson - Tainted Love;Now I run from you
Matt Cerf & Evelio feat. Jaren - Walk Away;Well I know you don't need me, the way that I need you
Mindless Self Indulgence - Shut Me Up;I like my coffee black just like my metal
Pendulum - Witchcraft;Turning your head to see a new day calling
The Prodigy - Spitfire;If If was in World War II
Story Of The Year - Until The Day I Die;We make the same mistakes, I take the fall for you
System Of A Down - Chop Suey!;Why'd you leave the keys upon the table?
Thousand Foot Krutch - Off The Rails;Am I following to close or am I right where I'm supposed to be
Trust Company - Downfall;Here it comes face to face with me
TyDi feat. Luke Mansini - Chasing Nothing;But I see it in your eyes that you were never on my side
Pokemon Thema;I want to be the very best, like no one ever was
Shpongle - Once Upon The Sea Of Blissful Awareness;Some laugh, some weep, some dance for joy
Die Antwoord - We Have Candy;Sometimes I get sad and I cut myself ... a piece of cake
