Pinyin;English
nǐ hǎo ma (你好吗);how are you?
nǐ hǎo (你好);hello
hǎo (好);good
zài jiàn (再见);good bye
huān yíng (欢迎);welcome
xiè xiè (谢谢);thank you
duō xiè (多谢);thank you very much
bú kè qì (不客气);you're welcome
duì bù qǐ (对不起);sorry
zǎo shàng hǎo (早上好);good morning
zǎo (早);morning
Wǎn ān (晚安);Good night
zuò (做);to do
shén me (什么);what
jiào (叫);to be called
shì (是);yes
shì de (是的);yes
bù (不);no
bù shì (不是);no
lái (来);come
zǒu (走);go
aì (爱);love
wǒ aì nǐ (我爱你);I love you
xǐ huān (喜欢);to like
wǒ xǐ huān nǐ (我喜欢你);I like you
