Author;Quote
Eric Cartman;Screw you guys, I'm going home
Eric Cartman;You're breaking my balls
Timmy;Timmey
Rick Sanchez;Being nice is something stupid people would do to hedge their bets
Mr Meseeks;Existence is pain
Rick Sanchez;I'm sorry but your opinion means very little to me
Rick Sanchez;Planning for failure is even more stupid then planning at all
Spongebob Squarepants;Remember, licking doorknobs is illegal on other planets.
Patrick Star;Is mayonnaise an instrument?
Captain Lesley Hero;Save yourself
Wooldoor Sockbat;You ask me if I have a god complex? I am god
Xandir P. Wifflebottom;I'm on a never-ending quest to save my girlfriend 
Toot Braunstein;Sometimes I cut myself to relieve the pain. Hee hee hee.
Ling Ling;L. Ron Hubbard has finally answered
Lars Harmsen;Only noobs in my team
Ron Swanson;I once worked with a guy for 3 years and never learned his name. Best friend I ever had. We still never talk sometimes.
Ron Swanson;I like to call people by the wrong name to let them know I don't really care about them.
Jimmy;Down like a clown Charlie Brown
Pam Poovey;Holy shit snacks
Sterling Archer;Lana, Lana, Laanaaaaa ... danger zone
Finn Mertens;Mathematical
Finn Mertens;Yeah, it's pretty math... you psychopath!
Finn Mertens;No one flicks me in the butt without my consent.
Finn Mertens;You don't need a mirror to know you look good. You're beautiful on the inside. Like... your brain and stuff.
Jake the dog;Sucking at something is the first step towards being sorta good at something.
Pikachu;Pika Pika
Mewtwo;I see now that the circumstances of one's birth are irrelevant. It is what you do with the gift of life that determines who you are.
Professor Oak;Now tell me. Are you a boy? Or are you a girl?
Team Rocket;Prepare for trouble.
